location,fault_severity,et,nbet,rt,nbrt,st,lf,nblf,svol,volmoy,volsd
l602,0,e11,1,r8,1,s1,f171xf55,2,4,2,0
l931,0,e11xe15,2,r8,1,s1,f80xf82,2,8,4,4.24264068711928
l284,1,e34,1,r2,1,s2,f227xf232,2,2,1,0
l921,0,e15,1,r8,1,s2,f56,1,1,1,0
l821,0,e11xe15,2,r8,1,s1,f203xf82,2,6,3,1.4142135623731
l684,2,e15,1,r8,1,s2,f193xf203xf71xf82,4,104,26,34.4383507154451
l875,1,e11,1,r8,1,s1,f203xf82,2,4,2,0
l481,0,e34xe35,2,r2,1,s2,f228xf230xf308xf310,4,89,22.25,1.70782512765993
l8,0,e11xe15,2,r8,1,s1,f172xf56,2,4,2,0
l194,0,e11,1,r8,1,s2,f68,1,3,3,0
l147,0,e35,1,r2,1,s4,f307xf312xf313,3,3,1,0
l149,0,e34xe35,2,r2,1,s2,f232xf312xf313,3,6,2,1
l745,1,e11xe13,2,r6xr8,2,s1,f273xf68,2,4,2,1.4142135623731
l494,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,17,4.25,1.5
l253,0,e35,1,r2,1,s4,f130xf131,2,2,1,0
l1111,1,e11,1,r8,1,s1,f68,1,1,1,0
l984,1,e11xe13,2,r6xr8,2,s1,f179xf273xf345xf68,4,5,1.25,0.5
l600,0,e15,1,r8,1,s2,f82,1,12,12,0
l1086,0,e15,1,r8,1,s2,f82,1,8,8,0
l1111,2,e11,1,r8,1,s1,f170xf54xf68,3,12,4,4.35889894354067
l149,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,254,42.3333333333333,62.4873320495176
l821,2,e11xe15,2,r8,1,s1,f193xf203xf71xf80xf82,5,41,8.2,9.06642156531451
l376,1,e34xe35,2,r2,1,s2,f227xf232xf307xf312xf357xf358xf95,7,10,1.42857142857143,0.534522483824849
l118,1,e34xe35,2,r2,1,s2,f232xf312,2,19,9.5,0.707106781186548
l491,0,e34xe35,2,r2,1,s2,f232xf235xf307xf312xf315,5,9,1.8,1.09544511501033
l963,0,e11,1,r8,1,s2,f195,1,1,1,0
l264,1,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,4,1,0
l1052,1,e15,1,r8,1,s2,f203xf82,2,6,3,2.82842712474619
l462,0,e20xe35,2,r2,1,s1,f134xf219xf301,3,6,2,1
l793,0,e11,1,r8,1,s1,f195xf73,2,36,18,4.24264068711928
l726,0,e11,1,r8,1,s1,f170xf54,2,10,5,0
l7,0,e11,1,r8,1,s1,f171xf55,2,3,1.5,0.707106781186548
l621,1,e20,1,r2,1,s1,f134xf219,2,2,1,0
l1042,0,e15,1,r8,1,s2,f203xf82,2,20,10,5.65685424949238
l892,2,e42xe43xe44,3,r2,1,s1,f283xf291xf368xf375xf376,5,28,5.6,1.67332005306815
l878,0,e11,1,r8,1,s1,f195xf73,2,11,5.5,0.707106781186548
l684,0,e11xe15,2,r8,1,s1,f193xf71xf82,3,15,5,4.35889894354067
l474,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,15,2.5,1.22474487139159
l734,2,e11xe15,2,r8,1,s1,f193xf203xf71xf80xf82,5,28,5.6,6.02494813255683
l505,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313,4,22,5.5,2.64575131106459
l504,0,e34xe35,2,r2,1,s2,f227xf232xf235xf307xf312xf315,6,11,1.83333333333333,0.408248290463863
l328,0,e20xe34xe35,3,r2,1,s1,f134xf219xf221xf301,4,4,1,0
l257,1,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l1072,0,e11,1,r8,1,s1,f202xf81,2,6,3,1.4142135623731
l533,0,e30,1,r9,1,s5,f133xf218,2,4,2,0
l600,2,e15,1,r8,1,s2,f203xf82,2,45,22.5,19.0918830920368
l321,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,20,5,2.44948974278318
l292,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313,4,20,5,1.82574185835055
l124,0,e34xe35,2,r2,1,s2,f232xf312xf313,3,3,1,0
l939,0,e11,1,r8,1,s1,f193,1,1,1,0
l506,0,e34xe35,2,r2,1,s2,f232xf312xf313xf315,4,193,48.25,55.5060056810672
l1026,1,e11xe13,2,r6xr8,2,s1,f273xf68,2,8,4,2.82842712474619
l995,1,e11xe15,2,r8,1,s1,f105xf172xf193xf56xf71xf82,6,530,88.3333333333333,126.64385759549
l493,0,e34xe35,2,r2,1,s2,f227xf232xf234xf307xf312xf314,6,6,1,0
l478,0,e34xe35,2,r2,1,s2,f229xf232xf234xf309xf312xf314,6,22,3.66666666666667,1.36626010212795
l95,1,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,6,1.5,0.577350269189626
l979,0,e20,1,r2,1,s1,f134xf219,2,2,1,0
l782,0,e11,1,r8,1,s1,f202xf81,2,4,2,0
l126,0,e34,1,r2,1,s2,f232,1,1,1,0
l1008,2,e15,1,r8,1,s2,f203xf80xf82,3,18,6,2.64575131106459
l505,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,220,36.6666666666667,33.5777704242951
l805,0,e11,1,r8,1,s1,f167xf51,2,3,1.5,0.707106781186548
l506,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313,4,233,58.25,64.2670210916921
l665,0,e11,1,r8,1,s1,f171xf55,2,4,2,0
l497,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313,4,406,101.5,40.6653005235012
l13,1,e11xe13,2,r6xr8,2,s1,f179xf273xf345xf68,4,8,2,0
l704,0,e11xe15,2,r8,1,s1,f201xf203xf71xf80xf82,5,32,6.4,8.14248119432891
l1107,0,e11xe15,2,r8,1,s1,f193xf201xf71xf80,4,8,2,1.15470053837925
l839,0,e11,1,r8,1,s1,f68,1,12,12,0
l771,0,e15,1,r8,1,s2,f193xf203xf71xf82,4,67,16.75,26.2726093108393
l714,1,e13,1,r6,1,s1,f345,1,1,1,0
l810,0,e15,1,r8,1,s2,f203xf82,2,79,39.5,50.2045814642449
l881,1,e13,1,r6,1,s1,f273xf345,2,2,1,0
l892,1,e42xe43xe44,3,r2,1,s2,f283xf290xf368xf375xf376,5,10,2,1
l1031,0,e11,1,r8,1,s1,f170xf182,2,10,5,5.65685424949238
l520,0,e34xe35,2,r2,1,s2,f232xf312,2,26,13,0
l845,2,e15,1,r8,1,s2,f203xf82,2,8,4,0
l122,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,26,4.33333333333333,1.75119007154183
l122,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,12,2,1.26491106406735
l1033,0,e11,1,r8,1,s4,f54,1,2,2,0
l1099,0,e11,1,r8,1,s1,f202xf81,2,6,3,1.4142135623731
l282,0,e35,1,r2,1,s4,f309xf312,2,2,1,0
l653,0,e15,1,r8,1,s2,f80xf82,2,12,6,2.82842712474619
l994,0,e11,1,r8,1,s2,f195xf73,2,2,1,0
l1107,2,e11xe15xe38,3,r2xr8,2,s1,f193xf203xf317xf71xf82,5,71,14.2,18.0194339533738
l831,0,e11,1,r8,1,s4,f170xf54,2,3,1.5,0.707106781186548
l879,0,e11,1,r8,1,s2,f195xf73,2,3,1.5,0.707106781186548
l891,0,e11,1,r8,1,s2,f73,1,1,1,0
l479,0,e34xe35,2,r2,1,s2,f232xf234xf312xf314,4,69,17.25,19.3283039435263
l497,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,97,16.1666666666667,13.5855315194757
l244,0,e34xe35,2,r2,1,s2,f232xf312,2,88,44,1.4142135623731
l704,2,e15,1,r8,1,s2,f193xf203xf71xf82,4,26,6.5,5.74456264653803
l400,0,e35,1,r2,1,s4,f312,1,1,1,0
l797,0,e11,1,r8,1,s1,f170xf54,2,7,3.5,0.707106781186548
l892,2,e42xe43xe44,3,r2,1,s1,f283xf290xf291xf368xf375xf376,6,31,5.16666666666667,2.56255081250434
l242,0,e34xe35,2,r2,1,s2,f229xf232xf234xf309xf312xf314xf316,7,320,45.7142857142857,31.4574542608176
l133,1,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l1050,1,e13,1,r6,1,s1,f118xf273xf30,3,3,1,0
l1086,2,e15,1,r8,1,s2,f203xf82,2,37,18.5,19.0918830920368
l812,2,e10xe11,2,r3xr8,2,s1,f150xf171xf35xf55,4,23,5.75,4.99165971062398
l445,0,e34xe35,2,r2,1,s2,f232xf312,2,13,6.5,0.707106781186548
l691,1,e11xe22xe23,3,r7xr8,2,s2,f222xf306xf75,3,4,1.33333333333333,0.577350269189626
l91,1,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l895,1,e42xe43xe44,3,r2,1,s1,f283xf290xf291xf368xf375xf376,6,74,12.3333333333333,8.80151502110101
l902,0,e11,1,r8,1,s1,f170xf54,2,4,2,1.4142135623731
l909,1,e11xe14,2,r4xr8,2,s2,f155xf170xf40xf54,4,6,1.5,0.577350269189626
l236,0,e20xe34xe35,3,r2,1,s1,f134xf219xf232xf301xf307xf312,6,9,1.5,0.836660026534076
l1099,0,e11,1,r8,1,s1,f191xf202xf70xf81,4,16,4,1.82574185835055
l1100,2,e11xe15,2,r8,1,s1,f108xf193xf203xf71xf82,5,142,28.4,34.442706049322
l921,1,e15,1,r8,1,s2,f203xf82,2,4,2,0
l763,1,e15,1,r8,1,s2,f203xf82,2,12,6,4.24264068711928
l488,0,e34xe35,2,r2,1,s2,f232xf312,2,42,21,1.4142135623731
l627,0,e11xe22xe23,3,r7xr8,2,s2,f197xf222xf306xf75,4,6,1.5,0.577350269189626
l847,1,e54,1,r2,1,s4,f360xf362,2,2,1,0
l1095,2,e11xe14xe20xe22xe23,5,r2xr4xr7xr8,4,s1,f134xf170xf209xf219xf303xf306,6,8,1.33333333333333,0.816496580927726
l122,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,28,4.66666666666667,2.87518115371304
l375,0,e34xe35,2,r2,1,s2,f233xf313,2,14,7,2.82842712474619
l895,1,e42xe43xe44,3,r2,1,s1,f283xf290xf291xf368xf375xf376,6,36,6,2.75680975041804
l962,1,e11xe15,2,r8,1,s1,f203xf82,2,19,9.5,3.53553390593274
l1024,0,e11,1,r8,1,s1,f195xf73,2,5,2.5,0.707106781186548
l846,0,e11xe15,2,r8,1,s1,f203xf82,2,16,8,8.48528137423857
l894,0,e42xe43xe44,3,r2,1,s1,f283xf290xf291xf368xf375xf376,6,86,14.3333333333333,6.34560215162176
l1104,1,e11,1,r8,1,s1,f201xf80,2,2,1,0
l834,2,e15,1,r8,1,s2,f203xf82,2,14,7,1.4142135623731
l809,0,e11xe15,2,r8,1,s1,f193xf71,2,10,5,0
l148,0,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l332,0,e20,1,r2,1,s1,f134,1,2,2,0
l834,2,e15,1,r8,1,s2,f203xf82,2,16,8,2.82842712474619
l735,0,e11,1,r8,1,s1,f191xf70,2,9,4.5,2.12132034355964
l742,0,e11xe15,2,r8,1,s1,f111xf25xf80,3,291,97,77.6595132614157
l617,1,e11,1,r8,1,s1,f172,1,2,2,0
l1107,1,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,42,10.5,9.32737905308882
l957,0,e11xe54,2,r2xr8,2,s2,f171xf55,2,2,1,0
l149,0,e34xe35,2,r2,1,s2,f227xf232xf233xf313xf315,5,8,1.6,0.894427190999916
l810,0,e15,1,r8,1,s2,f56xf82,2,3,1.5,0.707106781186548
l737,1,e11,1,r8,1,s1,f157xf42,2,4,2,1.4142135623731
l1017,1,e11,1,r8,1,s1,f170xf54,2,5,2.5,0.707106781186548
l899,0,e42xe43xe44,3,r2,1,s1,f283xf291xf368xf375xf376,5,25,5,0.707106781186548
l13,2,e11xe13xe14xe20xe22xe23,6,r2xr4xr6xr7xr8,5,s1,f134xf219xf303xf305xf306xf345xf48,7,11,1.57142857142857,1.13389341902768
l232,0,e20,1,r2,1,s1,f134xf219,2,2,1,0
l808,0,e11xe15,2,r8,1,s1,f193xf71,2,5,2.5,0.707106781186548
l734,1,e11xe15,2,r8,1,s1,f193xf201xf203xf71xf80xf82,6,33,5.5,6.34822809924155
l1080,1,e11xe13,2,r6xr8,2,s1,f273xf68,2,6,3,1.4142135623731
l944,1,e11xe32,2,r8,1,s1,f170xf182xf207xf280xf54xf62xf86,7,20,2.85714285714286,2.85356919363403
l903,1,e11,1,r8,1,s1,f170xf204xf54xf83,4,42,10.5,9.81495457622364
l856,1,e11xe22xe23,3,r7xr8,2,s2,f222xf306xf75,3,4,1.33333333333333,0.577350269189626
l686,0,e11xe22xe23,3,r7xr8,2,s1,f170xf223xf305xf306xf54xf68,6,8,1.33333333333333,0.516397779494322
l836,0,e11,1,r8,1,s1,f195xf73,2,15,7.5,0.707106781186548
l476,0,e34xe35,2,r2,1,s2,f229xf232xf234xf309xf312xf314,6,50,8.33333333333333,9.87252078583108
l793,0,e11,1,r8,1,s1,f195xf73,2,106,53,22.6274169979695
l1100,1,e11xe15,2,r8,1,s1,f203xf71xf82,3,57,19,20.6639783197718
l255,0,e34xe35,2,r2,1,s2,f232xf312,2,13,6.5,0.707106781186548
l655,0,e11,1,r8,1,s1,f201xf80,2,2,1,0
l684,2,e15,1,r8,1,s2,f203xf71xf82,3,50,16.6666666666667,14.0118997046558
l842,0,e24,1,r2,1,s1,f239xf318,2,2,1,0
l326,1,e34xe35,2,r2,1,s2,f228xf230xf308xf310,4,8,2,1.15470053837925
l1056,1,e11xe13,2,r6xr8,2,s1,f170xf273xf54,3,3,1,0
l446,0,e20xe34xe35,3,r2,1,s1,f134xf219xf221xf301,4,4,1,0
l707,0,e11xe15,2,r8,1,s1,f71,1,9,9,0
l242,0,e34xe35,2,r2,1,s2,f229xf232xf234xf309xf312xf314,6,249,41.5,17.9192633777173
l821,1,e15,1,r8,1,s2,f203xf82,2,8,4,2.82842712474619
l619,0,e11,1,r8,1,s2,f54,1,5,5,0
l124,0,e34xe35,2,r2,1,s2,f233xf235xf312xf313xf315,5,8,1.6,0.547722557505166
l1008,1,e11xe15,2,r8,1,s1,f193xf201xf203xf71xf80xf82,6,32,5.33333333333333,4.5898438608156
l684,2,e15,1,r8,1,s2,f203xf82,2,58,29,18.3847763108502
l937,1,e11,1,r8,1,s1,f170xf54,2,5,2.5,0.707106781186548
l480,0,e34xe35,2,r2,1,s2,f228xf230xf308xf310,4,128,32,1.82574185835055
l648,0,e11xe14xe23,3,r4xr7xr8,3,s2,f306xf54,2,2,1,0
l122,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313,5,21,4.2,1.6431676725155
l118,0,e34xe35,2,r2,1,s2,f232xf312,2,10,5,0
l1042,1,e15,1,r8,1,s2,f203xf82,2,25,12.5,14.8492424049175
l1025,0,e11,1,r8,1,s1,f188xf66,2,2,1,0
l899,0,e42,1,r2,1,s2,f283,1,1,1,0
l1018,0,e11xe15,2,r8,1,s1,f193xf201xf71xf80,4,16,4,3.46410161513775
l821,0,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,22,5.5,1.29099444873581
l1010,0,e11,1,r8,1,s1,f109xf195xf73,3,67,22.3333333333333,17.0098010962308
l400,0,e35,1,r2,1,s4,f301,1,2,2,0
l72,1,e11,1,r8,1,s2,f171xf55,2,2,1,0
l808,0,e11xe15,2,r8,1,s1,f193xf52xf71,3,5,1.66666666666667,0.577350269189626
l692,0,e11,1,r8,1,s2,f170xf54,2,2,1,0
l704,1,e15,1,r8,1,s2,f203xf82,2,20,10,5.65685424949238
l481,0,e34xe35,2,r2,1,s2,f228xf230xf308xf310,4,96,24,1.63299316185545
l253,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,10,2.5,0.577350269189626
l734,2,e11,1,r8,1,s1,f82,1,2,2,0
l892,2,e42xe43xe44,3,r2,1,s1,f283xf290xf291xf368xf375xf376,6,50,8.33333333333333,3.20416395751944
l280,0,e35,1,r2,1,s4,f312,1,1,1,0
l157,0,e34xe35,2,r2,1,s2,f221xf232xf301xf312,4,6,1.5,0.577350269189626
l290,0,e11xe20xe35,3,r2xr8,2,s1,f134xf181xf219xf307xf312xf94,6,6,1,0
l962,1,e15,1,r8,1,s2,f203xf82,2,25,12.5,16.2634559672906
l798,0,e11xe15,2,r8,1,s1,f203xf82,2,21,10.5,0.707106781186548
l834,0,e15,1,r8,1,s2,f82,1,14,14,0
l756,0,e11,1,r8,1,s1,f170xf54,2,25,12.5,0.707106781186548
l895,0,e42xe43xe44,3,r2,1,s4,f368xf375xf376,3,6,2,0
l518,0,e34xe35,2,r2,1,s2,f235xf315,2,4,2,0
l122,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312,4,4,1,0
l1090,0,e11,1,r8,1,s1,f195xf73,2,2,1,0
l99,0,e35,1,r2,1,s4,f312,1,1,1,0
l488,0,e34xe35,2,r2,1,s2,f232xf312xf313,3,15,5,2.64575131106459
l798,2,e15,1,r8,1,s2,f203xf82,2,18,9,1.4142135623731
l974,1,e11,1,r8,1,s1,f170xf54,2,2,1,0
l495,0,e34xe35,2,r2,1,s2,f227xf228xf229xf232xf233xf234xf235xf307xf308xf309xf310xf311xf312xf313xf314xf315xf316,17,576,33.8823529411765,50.0573200852547
l1031,0,e11,1,r8,1,s1,f170xf54,2,13,6.5,0.707106781186548
l745,1,e11,1,r8,1,s1,f170,1,1,1,0
l798,0,e11xe15,2,r8,1,s1,f203xf82,2,53,26.5,16.2634559672906
l834,0,e15,1,r8,1,s2,f203xf82,2,38,19,11.3137084989848
l1092,1,e11,1,r8,1,s1,f170,1,4,4,0
l641,0,e42xe44,2,r2,1,s1,f120xf125xf283xf291xf368xf376,6,529,88.1666666666667,80.0310356465957
l151,0,e34xe35,2,r2,1,s2,f232xf301xf307xf312,4,5,1.25,0.5
l1089,0,e11,1,r8,1,s1,f170xf54,2,3,1.5,0.707106781186548
l756,1,e11,1,r8,1,s1,f170xf54,2,10,5,0
l322,0,e34xe35,2,r2,1,s2,f232xf312,2,5,2.5,0.707106781186548
l89,1,e34xe35,2,r2,1,s2,f232xf233xf312xf313,4,12,3,1.15470053837925
l1007,0,e15,1,r8,1,s2,f80,1,1,1,0
l639,1,e50,1,r2,1,s1,f289,1,1,1,0
l962,0,e15,1,r8,1,s2,f82,1,4,4,0
l921,2,e11xe15,2,r8,1,s1,f201xf203xf80xf82,4,20,5,1.15470053837925
l734,1,e15,1,r8,1,s2,f193xf203xf71xf82,4,35,8.75,9.42956343987709
l1109,0,e20,1,r2,1,s1,f134,1,1,1,0
l543,0,e20xe54,2,r2,1,s1,f134xf219,2,4,2,0
l507,0,e34xe35,2,r2,1,s2,f228xf229xf231xf232xf234xf236xf307xf308xf309xf311xf312xf314xf316,13,122,9.38461538461539,14.6886490276135
l141,1,e34xe35,2,r2,1,s2,f227xf228xf232xf307xf308xf309xf312,7,9,1.28571428571429,0.487950036474267
l1052,0,e15,1,r8,1,s2,f82,1,5,5,0
l1008,1,e15,1,r8,1,s2,f203xf80xf82,3,16,5.33333333333333,6.65832811847939
l445,1,e34xe35,2,r2,1,s2,f232xf312,2,8,4,0
l885,1,e11,1,r8,1,s1,f173xf57xf70xf81,4,14,3.5,5
l495,0,e34xe35,2,r2,1,s2,f227xf228xf229xf232xf233xf234xf235xf307xf308xf309xf312xf313xf314xf315,14,440,31.4285714285714,39.868465050645
l856,1,e11xe22xe23,3,r7xr8,2,s2,f197xf222xf306xf75,4,4,1,0
l1100,0,e15,1,r8,1,s2,f82,1,19,19,0
l165,1,e34,1,r2,1,s2,f227xf232,2,2,1,0
l505,0,e34xe35,2,r2,1,s2,f228xf229xf230xf231xf232xf233xf234xf235xf236xf308xf309xf310xf311xf312xf313xf314xf315xf316,18,718,39.8888888888889,38.7539582629407
l344,0,e34xe35,2,r2,1,s2,f232xf312,2,10,5,0
l808,0,e11xe15,2,r8,1,s1,f193xf71,2,15,7.5,7.77817459305202
l102,1,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l122,0,e35,1,r2,1,s4,f313xf315,2,2,1,0
l371,1,e34xe35,2,r2,1,s2,f228xf230xf233xf235xf308xf310xf313xf315,8,12,1.5,0.534522483824849
l744,0,e11xe13,2,r6xr8,2,s1,f170xf273xf345xf54xf68,5,10,2,0.707106781186548
l484,0,e34xe35,2,r2,1,s2,f230xf232xf235xf310xf312xf315,6,44,7.33333333333333,7.96659693135448
l445,0,e34xe35,2,r2,1,s2,f232xf312,2,9,4.5,0.707106781186548
l481,0,e34xe35,2,r2,1,s2,f228xf230xf308xf310,4,103,25.75,3.20156211871642
l895,1,e42xe43xe44,3,r2,1,s1,f283xf290xf291xf368xf375xf376,6,122,20.3333333333333,9.912954487269
l124,0,e34xe35,2,r2,1,s2,f232xf307xf312xf313xf315,5,8,1.6,0.547722557505166
l244,0,e34xe35,2,r2,1,s2,f232xf312,2,78,39,1.4142135623731
l653,0,e15xe54,2,r2xr8,2,s1,f201xf203xf80xf82,4,43,10.75,11.2657297440808
l1008,1,e15,1,r8,1,s2,f201xf203xf80xf82,4,16,4,2.94392028877595
l363,0,e34xe35,2,r2,1,s2,f227xf232xf233xf307xf312xf313,6,8,1.33333333333333,0.516397779494322
l734,1,e11xe15,2,r8,1,s1,f203xf71xf82,3,24,8,11.2694276695846
l373,0,e34xe35,2,r2,1,s2,f232xf312,2,116,58,0
l1099,0,e11,1,r8,1,s1,f191xf70,2,11,5.5,0.707106781186548
l455,0,e34xe35,2,r2,1,s2,f232xf312,2,14,7,0
l735,0,e11,1,r8,1,s1,f171xf55,2,3,1.5,0.707106781186548
l704,2,e11xe15,2,r8,1,s1,f203xf82,2,55,27.5,12.0208152801713
l638,2,e42xe44,2,r2,1,s1,f283xf291xf368xf376,4,18,4.5,0.577350269189626
l931,0,e15,1,r8,1,s2,f201xf80,2,5,2.5,2.12132034355964
l1052,1,e15xe54,2,r2xr8,2,s1,f201xf203xf80xf82,4,19,4.75,3.77491721763537
l821,0,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,72,18,17.4164673034842
l976,0,e15xe5,2,r1xr8,2,s1,f141xf203xf8xf82,4,17,4.25,4.27200187265877
l313,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,14,2.33333333333333,0.516397779494322
l9,0,e11xe15,2,r8,1,s1,f193xf71,2,5,2.5,0.707106781186548
l445,0,e34xe35,2,r2,1,s2,f232xf312,2,21,10.5,0.707106781186548
l895,2,e42xe43xe44,3,r2,1,s1,f283xf291xf368xf375xf376,5,20,4,0
l154,1,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l798,0,e15,1,r8,1,s2,f82,1,14,14,0
l1007,0,e11xe15,2,r8,1,s1,f201xf80,2,5,2.5,0.707106781186548
l118,0,e34xe35,2,r2,1,s2,f232xf312,2,45,22.5,0.707106781186548
l118,0,e20xe34xe35,3,r2,1,s1,f134xf219xf232xf301xf307xf312,6,30,5,6.19677335393187
l909,0,e11xe14,2,r4xr8,2,s2,f54,1,2,2,0
l1106,0,e11,1,r8,1,s1,f170xf54,2,39,19.5,4.94974746830583
l313,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313xf315,5,8,1.6,0.894427190999916
l91,1,e34xe35,2,r2,1,s2,f227xf232xf235xf307xf312xf315,6,8,1.33333333333333,0.516397779494322
l1051,0,e11,1,r8,1,s1,f170xf207,2,3,1.5,0.707106781186548
l1107,0,e11xe15,2,r8,1,s1,f193xf71xf82,3,11,3.66666666666667,0.577350269189626
l272,1,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,4,1,0
l113,0,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l1017,0,e11,1,r8,1,s1,f170xf54,2,21,10.5,0.707106781186548
l821,1,e11xe15xe54,3,r2xr8,2,s1,f193xf203xf71xf82,4,20,5,4.76095228569523
l122,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,23,3.83333333333333,2.71416039810964
l181,0,e34xe35,2,r2,1,s2,f232xf233xf235xf307xf312xf313xf315,7,11,1.57142857142857,0.534522483824849
l474,0,e34xe35,2,r2,1,s2,f233xf235xf313xf315,4,7,1.75,0.957427107756338
l893,0,e42xe43xe44,3,r2,1,s1,f283xf290xf291xf368xf375xf376,6,64,10.6666666666667,3.82970843102535
l763,1,e15,1,r8,1,s2,f203xf82,2,15,7.5,3.53553390593274
l1023,1,e11xe30,2,r8xr9,2,s1,f133xf195xf218,3,8,2.66666666666667,2.88675134594813
l812,0,e11,1,r8,1,s1,f101xf18xf51,3,857,285.666666666667,257.395286152123
l228,1,e34xe35,2,r2,1,s2,f227xf232xf307xf312xf313xf314,6,6,1,0
l445,0,e34xe35,2,r2,1,s2,f232xf312,2,23,11.5,0.707106781186548
l897,2,e42xe43xe44xe50,4,r2,1,s1,f283xf289xf290xf291xf368xf376,6,6,1,0
l481,1,e21xe35,2,r2,1,s1,f135xf220xf301,3,3,1,0
l810,2,e15,1,r8,1,s2,f203xf82,2,13,6.5,2.12132034355964
l646,0,e11,1,r8,1,s1,f201xf203xf80xf82,4,21,5.25,3.77491721763537
l723,1,e11xe20,2,r2xr8,2,s1,f134xf209xf219xf87,4,4,1,0
l976,2,e11xe15,2,r8,1,s1,f201xf203xf80xf82,4,25,6.25,4.03112887414927
l126,0,e34xe35,2,r2,1,s2,f227xf232xf233xf235xf307xf312xf313xf315,8,169,21.125,25.8204653050914
