"","location","fault_severity","severity_type","n.event.types","n.features","max.vol","min.vol","n.resource_type","highest_feature","lowest_feature","sum_vol","sd_vol"
"81","location 147","0","severity_type 4",1,3,1,1,1,"feature 312","feature 312",3,0
"83","location 149","0","severity_type 2",2,3,3,1,1,"feature 312","feature 313",6,1
"84","location 745","1","severity_type 1",2,2,3,1,2,"feature 68","feature 273",4,1.4142135623731
"88","location 494","0","severity_type 2",2,4,5,2,1,"feature 312","feature 227",17,1.5
"89","location 253","0","severity_type 4",1,2,1,1,1,"feature 131","feature 131",2,0
"90","location 1111","1","severity_type 1",1,1,1,1,1,"feature 68","feature 68",1,NA
"91","location 984","1","severity_type 1",2,4,2,1,2,"feature 345","feature 68",5,0.5
"92","location 600","0","severity_type 2",1,1,12,12,1,"feature 82","feature 82",12,NA
"93","location 1086","0","severity_type 2",1,1,8,8,1,"feature 82","feature 82",8,NA
"94","location 1111","2","severity_type 1",1,3,9,1,1,"feature 170","feature 68",12,4.35889894354067
"99","location 149","0","severity_type 2",2,6,124,2,1,"feature 315","feature 233",254,62.4873320495176
"104","location 821","2","severity_type 1",2,5,22,2,1,"feature 82","feature 80",41,9.06642156531451
"105","location 376","1","severity_type 2",2,7,2,1,1,"feature 95","feature 232",10,0.534522483824849
"107","location 118","1","severity_type 2",2,2,10,9,1,"feature 312","feature 232",19,0.707106781186548
"111","location 491","0","severity_type 2",2,5,3,1,1,"feature 235","feature 307",9,1.09544511501033
"112","location 963","0","severity_type 2",1,1,1,1,1,"feature 195","feature 195",1,NA
"115","location 264","1","severity_type 2",2,4,1,1,1,"feature 312","feature 312",4,0
"119","location 1052","1","severity_type 2",1,2,5,1,1,"feature 82","feature 203",6,2.82842712474619
"120","location 462","0","severity_type 1",2,3,3,1,1,"feature 301","feature 219",6,1
"125","location 793","0","severity_type 1",1,2,21,15,1,"feature 73","feature 195",36,4.24264068711928
"129","location 726","0","severity_type 1",1,2,5,5,1,"feature 54","feature 54",10,0
"130","location 7","0","severity_type 1",1,2,2,1,1,"feature 55","feature 171",3,0.707106781186548
"131","location 621","1","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"132","location 1042","0","severity_type 2",1,2,14,6,1,"feature 82","feature 203",20,5.65685424949238
"134","location 892","2","severity_type 1",3,5,8,4,1,"feature 375","feature 376",28,1.67332005306815
"135","location 878","0","severity_type 1",1,2,6,5,1,"feature 195","feature 73",11,0.707106781186548
"138","location 684","0","severity_type 1",2,3,10,2,1,"feature 71","feature 82",15,4.35889894354067
"139","location 474","0","severity_type 2",2,6,4,1,1,"feature 235","feature 313",15,1.22474487139159
"142","location 734","2","severity_type 1",2,5,16,1,1,"feature 82","feature 80",28,6.02494813255683
"146","location 505","0","severity_type 2",2,4,9,3,1,"feature 232","feature 313",22,2.64575131106459
"149","location 504","0","severity_type 2",2,6,2,1,1,"feature 235","feature 232",11,0.408248290463863
"152","location 328","0","severity_type 1",3,4,1,1,1,"feature 219","feature 219",4,0
"154","location 257","1","severity_type 2",2,2,1,1,1,"feature 312","feature 312",2,0
"157","location 1072","0","severity_type 1",1,2,4,2,1,"feature 81","feature 202",6,1.4142135623731
"158","location 533","0","severity_type 5",1,2,2,2,1,"feature 133","feature 133",4,0
"159","location 600","2","severity_type 2",1,2,36,9,1,"feature 82","feature 203",45,19.0918830920368
"161","location 321","0","severity_type 2",2,4,7,2,1,"feature 312","feature 227",20,2.44948974278318
"162","location 292","0","severity_type 2",2,4,7,3,1,"feature 233","feature 232",20,1.82574185835055
"177","location 124","0","severity_type 2",2,3,1,1,1,"feature 232","feature 232",3,0
"178","location 939","0","severity_type 1",1,1,1,1,1,"feature 193","feature 193",1,NA
"179","location 506","0","severity_type 2",2,4,108,1,1,"feature 232","feature 315",193,55.5060056810672
"183","location 1026","1","severity_type 1",2,2,6,2,2,"feature 68","feature 273",8,2.82842712474619
"184","location 995","1","severity_type 1",2,6,288,1,1,"feature 56","feature 193",530,126.64385759549
"188","location 493","0","severity_type 2",2,6,1,1,1,"feature 232","feature 232",6,0
"190","location 478","0","severity_type 2",2,6,5,2,1,"feature 232","feature 314",22,1.36626010212795
"191","location 95","1","severity_type 2",2,4,2,1,1,"feature 232","feature 227",6,0.577350269189626
"193","location 979","0","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"196","location 782","0","severity_type 1",1,2,2,2,1,"feature 202","feature 202",4,0
"199","location 126","0","severity_type 2",1,1,1,1,1,"feature 232","feature 232",1,NA
"200","location 1008","2","severity_type 2",1,3,9,4,1,"feature 82","feature 203",18,2.64575131106459
"204","location 505","0","severity_type 2",2,6,91,3,1,"feature 232","feature 315",220,33.5777704242951
"206","location 805","0","severity_type 1",1,2,2,1,1,"feature 167","feature 51",3,0.707106781186548
"207","location 506","0","severity_type 2",2,4,123,3,1,"feature 232","feature 233",233,64.2670210916921
"212","location 665","0","severity_type 1",1,2,2,2,1,"feature 171","feature 171",4,0
"213","location 497","0","severity_type 2",2,4,154,66,1,"feature 232","feature 313",406,40.6653005235012
"217","location 13","1","severity_type 1",2,4,2,2,2,"feature 179","feature 179",8,0
"221","location 704","0","severity_type 1",2,5,20,1,1,"feature 82","feature 80",32,8.14248119432891
"223","location 1107","0","severity_type 1",2,4,3,1,1,"feature 80","feature 193",8,1.15470053837925
"225","location 839","0","severity_type 1",1,1,12,12,1,"feature 68","feature 68",12,NA
"227","location 771","0","severity_type 2",1,4,56,2,1,"feature 82","feature 71",67,26.2726093108393
"234","location 714","1","severity_type 1",1,1,1,1,1,"feature 345","feature 345",1,NA
"238","location 810","0","severity_type 2",1,2,75,4,1,"feature 82","feature 203",79,50.2045814642449
"239","location 881","1","severity_type 1",1,2,1,1,1,"feature 345","feature 345",2,0
"240","location 892","1","severity_type 2",3,5,3,1,1,"feature 376","feature 283",10,1
"242","location 1031","0","severity_type 1",1,2,9,1,1,"feature 170","feature 182",10,5.65685424949238
"243","location 520","0","severity_type 2",2,2,13,13,1,"feature 312","feature 312",26,0
"247","location 845","2","severity_type 2",1,2,4,4,1,"feature 203","feature 203",8,0
"248","location 122","0","severity_type 2",2,6,7,3,1,"feature 233","feature 312",26,1.75119007154183
"251","location 122","0","severity_type 2",2,6,4,1,1,"feature 233","feature 232",12,1.26491106406735
"256","location 1033","0","severity_type 4",1,1,2,2,1,"feature 54","feature 54",2,NA
"257","location 1099","0","severity_type 1",1,2,4,2,1,"feature 202","feature 81",6,1.4142135623731
"259","location 282","0","severity_type 4",1,2,1,1,1,"feature 312","feature 312",2,0
"260","location 653","0","severity_type 2",1,2,8,4,1,"feature 82","feature 80",12,2.82842712474619
"262","location 994","0","severity_type 2",1,2,1,1,1,"feature 73","feature 73",2,0
"263","location 1107","2","severity_type 1",3,5,42,1,2,"feature 82","feature 317",71,18.0194339533738
"265","location 831","0","severity_type 4",1,2,2,1,1,"feature 54","feature 170",3,0.707106781186548
"266","location 879","0","severity_type 2",1,2,2,1,1,"feature 73","feature 195",3,0.707106781186548
"269","location 891","0","severity_type 2",1,1,1,1,1,"feature 73","feature 73",1,NA
"270","location 479","0","severity_type 2",2,4,41,1,1,"feature 314","feature 232",69,19.3283039435263
"272","location 497","0","severity_type 2",2,6,33,2,1,"feature 232","feature 315",97,13.5855315194757
"274","location 244","0","severity_type 2",2,2,45,43,1,"feature 312","feature 232",88,1.4142135623731
"275","location 704","2","severity_type 2",1,4,14,2,1,"feature 82","feature 193",26,5.74456264653803
"279","location 400","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"284","location 797","0","severity_type 1",1,2,4,3,1,"feature 54","feature 170",7,0.707106781186548
"290","location 892","2","severity_type 1",3,6,8,2,1,"feature 376","feature 290",31,2.56255081250434
"292","location 242","0","severity_type 2",2,7,89,1,1,"feature 309","feature 316",320,31.4574542608176
"293","location 133","1","severity_type 2",2,2,1,1,1,"feature 312","feature 312",2,0
"295","location 1050","1","severity_type 1",1,3,1,1,1,"feature 118","feature 118",3,0
"296","location 1086","2","severity_type 2",1,2,32,5,1,"feature 82","feature 203",37,19.0918830920368
"297","location 812","2","severity_type 1",2,4,11,1,2,"feature 55","feature 35",23,4.99165971062398
"299","location 445","0","severity_type 2",2,2,7,6,1,"feature 312","feature 232",13,0.707106781186548
"300","location 691","1","severity_type 2",3,3,2,1,2,"feature 75","feature 222",4,0.577350269189626
"302","location 91","1","severity_type 2",2,2,1,1,1,"feature 232","feature 232",2,0
"306","location 895","1","severity_type 1",3,6,21,4,1,"feature 368","feature 291",74,8.80151502110101
"313","location 902","0","severity_type 1",1,2,3,1,1,"feature 54","feature 170",4,1.4142135623731
"315","location 909","1","severity_type 2",2,4,2,1,2,"feature 54","feature 40",6,0.577350269189626
"317","location 236","0","severity_type 1",3,6,3,1,1,"feature 312","feature 307",9,0.836660026534076
"319","location 1099","0","severity_type 1",1,4,6,2,1,"feature 191","feature 202",16,1.82574185835055
"320","location 1100","2","severity_type 1",2,5,88,2,1,"feature 82","feature 108",142,34.442706049322
"321","location 921","1","severity_type 2",1,2,2,2,1,"feature 82","feature 82",4,0
"323","location 763","1","severity_type 2",1,2,9,3,1,"feature 82","feature 203",12,4.24264068711928
"327","location 488","0","severity_type 2",2,2,22,20,1,"feature 232","feature 312",42,1.4142135623731
"334","location 627","0","severity_type 2",3,4,2,1,2,"feature 75","feature 197",6,0.577350269189626
"338","location 847","1","severity_type 4",1,2,1,1,1,"feature 362","feature 362",2,0
"339","location 1095","2","severity_type 1",5,6,3,1,4,"feature 209","feature 306",8,0.816496580927726
"341","location 122","0","severity_type 2",2,6,9,1,1,"feature 313","feature 235",28,2.87518115371304
"343","location 375","0","severity_type 2",2,2,9,5,1,"feature 313","feature 233",14,2.82842712474619
"345","location 895","1","severity_type 1",3,6,9,1,1,"feature 291","feature 290",36,2.75680975041804
"348","location 962","1","severity_type 1",2,2,12,7,1,"feature 82","feature 203",19,3.53553390593274
"350","location 1024","0","severity_type 1",1,2,3,2,1,"feature 73","feature 195",5,0.707106781186548
"355","location 846","0","severity_type 1",2,2,14,2,1,"feature 82","feature 203",16,8.48528137423857
"357","location 894","0","severity_type 1",3,6,21,4,1,"feature 368","feature 290",86,6.34560215162176
"358","location 1104","1","severity_type 1",1,2,1,1,1,"feature 80","feature 80",2,0
"360","location 834","2","severity_type 2",1,2,8,6,1,"feature 82","feature 203",14,1.4142135623731
"363","location 809","0","severity_type 1",2,2,5,5,1,"feature 71","feature 71",10,0
"364","location 148","0","severity_type 2",2,2,1,1,1,"feature 232","feature 232",2,0
"371","location 332","0","severity_type 1",1,1,2,2,1,"feature 134","feature 134",2,NA
"373","location 834","2","severity_type 2",1,2,10,6,1,"feature 82","feature 203",16,2.82842712474619
"377","location 735","0","severity_type 1",1,2,6,3,1,"feature 191","feature 70",9,2.12132034355964
"379","location 742","0","severity_type 1",2,3,151,8,1,"feature 111","feature 25",291,77.6595132614157
"381","location 617","1","severity_type 1",1,1,2,2,1,"feature 172","feature 172",2,NA
"385","location 1107","1","severity_type 1",2,4,23,2,1,"feature 82","feature 203",42,9.32737905308882
"387","location 957","0","severity_type 2",2,2,1,1,2,"feature 55","feature 55",2,0
"391","location 149","0","severity_type 2",2,5,3,1,1,"feature 313","feature 232",8,0.894427190999916
"392","location 810","0","severity_type 2",1,2,2,1,1,"feature 82","feature 56",3,0.707106781186548
"397","location 737","1","severity_type 1",1,2,3,1,1,"feature 42","feature 157",4,1.4142135623731
"400","location 1017","1","severity_type 1",1,2,3,2,1,"feature 54","feature 170",5,0.707106781186548
"403","location 899","0","severity_type 1",3,5,6,4,1,"feature 375","feature 291",25,0.707106781186548
"406","location 13","2","severity_type 1",6,7,4,1,5,"feature 306","feature 219",11,1.13389341902768
"408","location 232","0","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"409","location 808","0","severity_type 1",2,2,3,2,1,"feature 193","feature 71",5,0.707106781186548
"411","location 734","1","severity_type 1",2,6,18,1,1,"feature 82","feature 193",33,6.34822809924155
"412","location 1080","1","severity_type 1",2,2,4,2,2,"feature 68","feature 273",6,1.4142135623731
"413","location 944","1","severity_type 1",2,7,7,1,1,"feature 54","feature 62",20,2.85356919363403
"415","location 903","1","severity_type 1",1,4,19,2,1,"feature 170","feature 204",42,9.81495457622364
"417","location 856","1","severity_type 2",3,3,2,1,2,"feature 306","feature 75",4,0.577350269189626
"420","location 686","0","severity_type 1",3,6,2,1,2,"feature 170","feature 305",8,0.516397779494322
"421","location 836","0","severity_type 1",1,2,8,7,1,"feature 195","feature 73",15,0.707106781186548
"424","location 476","0","severity_type 2",2,6,22,1,1,"feature 314","feature 312",50,9.87252078583108
"429","location 793","0","severity_type 1",1,2,69,37,1,"feature 73","feature 195",106,22.6274169979695
"430","location 1100","1","severity_type 1",2,3,42,2,1,"feature 82","feature 71",57,20.6639783197718
"432","location 255","0","severity_type 2",2,2,7,6,1,"feature 312","feature 232",13,0.707106781186548
"437","location 655","0","severity_type 1",1,2,1,1,1,"feature 201","feature 201",2,0
"438","location 684","2","severity_type 2",1,3,28,1,1,"feature 82","feature 71",50,14.0118997046558
"439","location 842","0","severity_type 1",1,2,1,1,1,"feature 239","feature 239",2,0
"444","location 326","1","severity_type 2",2,4,3,1,1,"feature 308","feature 310",8,1.15470053837925
"446","location 1056","1","severity_type 1",2,3,1,1,2,"feature 170","feature 170",3,0
"447","location 446","0","severity_type 1",3,4,1,1,1,"feature 221","feature 221",4,0
"449","location 707","0","severity_type 1",2,1,9,9,1,"feature 71","feature 71",9,NA
"450","location 242","0","severity_type 2",2,6,60,19,1,"feature 232","feature 234",249,17.9192633777173
"452","location 821","1","severity_type 2",1,2,6,2,1,"feature 82","feature 203",8,2.82842712474619
"453","location 619","0","severity_type 2",1,1,5,5,1,"feature 54","feature 54",5,NA
"455","location 124","0","severity_type 2",2,5,2,1,1,"feature 312","feature 315",8,0.547722557505166
"462","location 1008","1","severity_type 1",2,6,13,1,1,"feature 82","feature 71",32,4.5898438608156
"465","location 684","2","severity_type 2",1,2,42,16,1,"feature 82","feature 203",58,18.3847763108502
"466","location 937","1","severity_type 1",1,2,3,2,1,"feature 170","feature 54",5,0.707106781186548
"469","location 480","0","severity_type 2",2,4,34,30,1,"feature 310","feature 228",128,1.82574185835055
"470","location 648","0","severity_type 2",3,2,1,1,3,"feature 306","feature 306",2,0
"472","location 122","0","severity_type 2",2,5,7,3,1,"feature 233","feature 232",21,1.6431676725155
"474","location 118","0","severity_type 2",2,2,5,5,1,"feature 312","feature 312",10,0
"477","location 1042","1","severity_type 2",1,2,23,2,1,"feature 82","feature 203",25,14.8492424049175
"479","location 1025","0","severity_type 1",1,2,1,1,1,"feature 188","feature 188",2,0
"480","location 899","0","severity_type 2",1,1,1,1,1,"feature 283","feature 283",1,NA
"484","location 1018","0","severity_type 1",2,4,7,1,1,"feature 80","feature 71",16,3.46410161513775
"486","location 821","0","severity_type 1",2,4,7,4,1,"feature 193","feature 203",22,1.29099444873581
"487","location 1010","0","severity_type 1",1,3,35,3,1,"feature 73","feature 109",67,17.0098010962308
"488","location 400","0","severity_type 4",1,1,2,2,1,"feature 301","feature 301",2,NA
"489","location 72","1","severity_type 2",1,2,1,1,1,"feature 171","feature 171",2,0
"491","location 808","0","severity_type 1",2,3,2,1,1,"feature 193","feature 52",5,0.577350269189626
"492","location 692","0","severity_type 2",1,2,1,1,1,"feature 54","feature 54",2,0
"495","location 704","1","severity_type 2",1,2,14,6,1,"feature 82","feature 203",20,5.65685424949238
"496","location 481","0","severity_type 2",2,4,26,22,1,"feature 310","feature 228",96,1.63299316185545
"497","location 253","0","severity_type 2",2,4,3,2,1,"feature 307","feature 227",10,0.577350269189626
"498","location 734","2","severity_type 1",1,1,2,2,1,"feature 82","feature 82",2,NA
"499","location 892","2","severity_type 1",3,6,10,2,1,"feature 376","feature 290",50,3.20416395751944
"500","location 280","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"501","location 157","0","severity_type 2",2,4,2,1,1,"feature 312","feature 221",6,0.577350269189626
"502","location 290","0","severity_type 1",3,6,1,1,2,"feature 181","feature 181",6,0
"503","location 962","1","severity_type 2",1,2,24,1,1,"feature 82","feature 203",25,16.2634559672906
"504","location 798","0","severity_type 1",2,2,11,10,1,"feature 82","feature 203",21,0.707106781186548
"505","location 834","0","severity_type 2",1,1,14,14,1,"feature 82","feature 82",14,NA
"506","location 756","0","severity_type 1",1,2,13,12,1,"feature 54","feature 170",25,0.707106781186548
"507","location 895","0","severity_type 4",3,3,2,2,1,"feature 376","feature 376",6,0
"515","location 518","0","severity_type 2",2,2,2,2,1,"feature 235","feature 235",4,0
"519","location 122","0","severity_type 2",2,4,1,1,1,"feature 312","feature 312",4,0
"532","location 1090","0","severity_type 1",1,2,1,1,1,"feature 195","feature 195",2,0
"533","location 99","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"541","location 488","0","severity_type 2",2,3,8,3,1,"feature 312","feature 232",15,2.64575131106459
"543","location 798","2","severity_type 2",1,2,10,8,1,"feature 82","feature 203",18,1.4142135623731
"544","location 974","1","severity_type 1",1,2,1,1,1,"feature 170","feature 170",2,0
"549","location 495","0","severity_type 2",2,17,164,1,1,"feature 232","feature 316",576,50.0573200852547
"550","location 1031","0","severity_type 1",1,2,7,6,1,"feature 54","feature 170",13,0.707106781186548
"552","location 745","1","severity_type 1",1,1,1,1,1,"feature 170","feature 170",1,NA
"553","location 798","0","severity_type 1",2,2,38,15,1,"feature 82","feature 203",53,16.2634559672906
"555","location 834","0","severity_type 2",1,2,27,11,1,"feature 82","feature 203",38,11.3137084989848
"558","location 1092","1","severity_type 1",1,1,4,4,1,"feature 170","feature 170",4,NA
"561","location 641","0","severity_type 1",2,6,190,13,1,"feature 368","feature 120",529,80.0310356465957
"569","location 151","0","severity_type 2",2,4,2,1,1,"feature 312","feature 307",5,0.5
"570","location 1089","0","severity_type 1",1,2,2,1,1,"feature 54","feature 170",3,0.707106781186548
"575","location 756","1","severity_type 1",1,2,5,5,1,"feature 170","feature 170",10,0
"576","location 322","0","severity_type 2",2,2,3,2,1,"feature 312","feature 232",5,0.707106781186548
"580","location 89","1","severity_type 2",2,4,4,2,1,"feature 312","feature 313",12,1.15470053837925
"581","location 1007","0","severity_type 2",1,1,1,1,1,"feature 80","feature 80",1,NA
"583","location 639","1","severity_type 1",1,1,1,1,1,"feature 289","feature 289",1,NA
"585","location 962","0","severity_type 2",1,1,4,4,1,"feature 82","feature 82",4,NA
"588","location 921","2","severity_type 1",2,4,6,4,1,"feature 82","feature 203",20,1.15470053837925
"594","location 734","1","severity_type 2",1,4,22,2,1,"feature 82","feature 203",35,9.42956343987709
"599","location 1109","0","severity_type 1",1,1,1,1,1,"feature 134","feature 134",1,NA
"601","location 543","0","severity_type 1",2,2,2,2,1,"feature 134","feature 134",4,0
"603","location 507","0","severity_type 2",2,13,47,1,1,"feature 312","feature 311",122,14.6886490276135
"604","location 141","1","severity_type 2",2,7,2,1,1,"feature 307","feature 232",9,0.487950036474267
"605","location 1052","0","severity_type 2",1,1,5,5,1,"feature 82","feature 82",5,NA
"608","location 1008","1","severity_type 2",1,3,13,1,1,"feature 82","feature 80",16,6.65832811847939
"615","location 445","1","severity_type 2",2,2,4,4,1,"feature 232","feature 232",8,0
"616","location 885","1","severity_type 1",1,4,11,1,1,"feature 81","feature 70",14,5
"618","location 495","0","severity_type 2",2,14,109,1,1,"feature 232","feature 235",440,39.868465050645
"622","location 856","1","severity_type 2",3,4,1,1,2,"feature 75","feature 75",4,0
"623","location 1100","0","severity_type 2",1,1,19,19,1,"feature 82","feature 82",19,NA
"624","location 165","1","severity_type 2",1,2,1,1,1,"feature 227","feature 227",2,0
"626","location 505","0","severity_type 2",2,18,107,1,1,"feature 232","feature 235",718,38.7539582629407
"630","location 344","0","severity_type 2",2,2,5,5,1,"feature 312","feature 312",10,0
"634","location 808","0","severity_type 1",2,2,13,2,1,"feature 71","feature 193",15,7.77817459305202
"636","location 102","1","severity_type 2",2,2,1,1,1,"feature 312","feature 312",2,0
"637","location 122","0","severity_type 4",1,2,1,1,1,"feature 315","feature 315",2,0
"638","location 371","1","severity_type 2",2,8,2,1,1,"feature 315","feature 230",12,0.534522483824849
"640","location 744","0","severity_type 1",2,5,3,1,2,"feature 54","feature 68",10,0.707106781186548
"646","location 484","0","severity_type 2",2,6,19,1,1,"feature 312","feature 310",44,7.96659693135448
"651","location 445","0","severity_type 2",2,2,5,4,1,"feature 312","feature 232",9,0.707106781186548
"656","location 481","0","severity_type 2",2,4,29,23,1,"feature 310","feature 228",103,3.20156211871642
"657","location 895","1","severity_type 1",3,6,31,10,1,"feature 283","feature 376",122,9.912954487269
"660","location 124","0","severity_type 2",2,5,2,1,1,"feature 232","feature 307",8,0.547722557505166
"662","location 244","0","severity_type 2",2,2,40,38,1,"feature 232","feature 312",78,1.4142135623731
"663","location 653","0","severity_type 1",2,4,27,1,2,"feature 82","feature 201",43,11.2657297440808
"665","location 1008","1","severity_type 2",1,4,7,1,1,"feature 80","feature 203",16,2.94392028877595
"678","location 363","0","severity_type 2",2,6,2,1,1,"feature 312","feature 313",8,0.516397779494322
"679","location 734","1","severity_type 1",2,3,21,1,1,"feature 82","feature 71",24,11.2694276695846
"680","location 373","0","severity_type 2",2,2,58,58,1,"feature 232","feature 232",116,0
"681","location 1099","0","severity_type 1",1,2,6,5,1,"feature 191","feature 70",11,0.707106781186548
"682","location 455","0","severity_type 2",2,2,7,7,1,"feature 232","feature 232",14,0
"683","location 735","0","severity_type 1",1,2,2,1,1,"feature 171","feature 55",3,0.707106781186548
"684","location 704","2","severity_type 1",2,2,36,19,1,"feature 82","feature 203",55,12.0208152801713
"687","location 638","2","severity_type 1",2,4,5,4,1,"feature 368","feature 283",18,0.577350269189626
"691","location 931","0","severity_type 2",1,2,4,1,1,"feature 80","feature 201",5,2.12132034355964
"693","location 1052","1","severity_type 1",2,4,10,2,2,"feature 82","feature 80",19,3.77491721763537
"698","location 821","0","severity_type 1",2,4,41,4,1,"feature 82","feature 193",72,17.4164673034842
"702","location 976","0","severity_type 1",2,4,10,1,2,"feature 82","feature 141",17,4.27200187265877
"703","location 313","0","severity_type 2",2,6,3,2,1,"feature 233","feature 232",14,0.516397779494322
"714","location 9","0","severity_type 1",2,2,3,2,1,"feature 193","feature 71",5,0.707106781186548
"715","location 445","0","severity_type 2",2,2,11,10,1,"feature 232","feature 312",21,0.707106781186548
"716","location 895","2","severity_type 1",3,5,4,4,1,"feature 375","feature 375",20,0
"720","location 154","1","severity_type 2",2,2,1,1,1,"feature 312","feature 312",2,0
"721","location 798","0","severity_type 2",1,1,14,14,1,"feature 82","feature 82",14,NA
"722","location 1007","0","severity_type 1",2,2,3,2,1,"feature 80","feature 201",5,0.707106781186548
"727","location 118","0","severity_type 2",2,2,23,22,1,"feature 232","feature 312",45,0.707106781186548
"731","location 118","0","severity_type 1",3,6,13,1,1,"feature 312","feature 134",30,6.19677335393187
"732","location 909","0","severity_type 2",2,1,2,2,2,"feature 54","feature 54",2,NA
"733","location 1106","0","severity_type 1",1,2,23,16,1,"feature 170","feature 54",39,4.94974746830583
"734","location 313","0","severity_type 2",2,5,3,1,1,"feature 313","feature 315",8,0.894427190999916
"740","location 91","1","severity_type 2",2,6,2,1,1,"feature 227","feature 235",8,0.516397779494322
"741","location 1051","0","severity_type 1",1,2,2,1,1,"feature 170","feature 207",3,0.707106781186548
"742","location 1107","0","severity_type 1",2,3,4,3,1,"feature 71","feature 193",11,0.577350269189626
"745","location 272","1","severity_type 2",2,4,1,1,1,"feature 232","feature 232",4,0
"747","location 113","0","severity_type 2",2,2,1,1,1,"feature 312","feature 312",2,0
"748","location 1017","0","severity_type 1",1,2,11,10,1,"feature 54","feature 170",21,0.707106781186548
"752","location 821","1","severity_type 1",3,4,12,2,2,"feature 82","feature 71",20,4.76095228569523
"755","location 122","0","severity_type 2",2,6,8,1,1,"feature 313","feature 232",23,2.71416039810964
"766","location 181","0","severity_type 2",2,7,2,1,1,"feature 313","feature 307",11,0.534522483824849
"768","location 474","0","severity_type 2",2,4,3,1,1,"feature 235","feature 313",7,0.957427107756338
"769","location 893","0","severity_type 1",3,6,13,3,1,"feature 368","feature 290",64,3.82970843102535
"772","location 763","1","severity_type 2",1,2,10,5,1,"feature 82","feature 203",15,3.53553390593274
"777","location 1023","1","severity_type 1",2,3,6,1,2,"feature 195","feature 218",8,2.88675134594813
"778","location 812","0","severity_type 1",1,3,502,1,1,"feature 51","feature 18",857,257.395286152123
"780","location 228","1","severity_type 2",2,6,1,1,1,"feature 313","feature 313",6,0
"784","location 445","0","severity_type 2",2,2,12,11,1,"feature 232","feature 312",23,0.707106781186548
